paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
DZUehXNiBn,7.0,N/A,4.00,Withdrawn (treated as Reject),Reject,N/A,0.0378,4.0,2.0,4.0,6.0,,,
4iNGM9PRPk,5.0,N/A,1.50,Withdrawn (treated as Reject),Reject,N/A,0.0098,0.0,2.0,2.0,2.0,,,
OuMNJoKJBQ,5.5,N/A,4.50,Accept (Poster),Accept,N/A,0.0252,4.0,4.0,6.0,4.0,,,
i1erFkzMIt,5.0,N/A,4.00,Reject,Reject,N/A,0.0195,2.0,6.0,4.0,4.0,,,
aAb26aqU1E,5.0,N/A,5.50,Accept (Poster),Accept,N/A,0.0217,4.0,6.0,6.0,6.0,,,
eETr3lrOQB,7.0,N/A,4.50,Accept (Poster),Accept,N/A,0.0219,4.0,8.0,2.0,4.0,,,
xxsacQ3tdb,7.0,N/A,6.50,Accept (Poster),Accept,N/A,0.0111,6.0,6.0,6.0,8.0,,,
rBj2iVyrhh,7.0,N/A,2.00,Reject,Reject,N/A,0.0069,2.0,2.0,2.0,2.0,,,
0bwjkwSTuk,7.0,N/A,3.33,Withdrawn (treated as Reject),Reject,N/A,0.0269,2.0,4.0,4.0,,,,
e3Z60Ri5JP,7.0,N/A,2.50,Withdrawn (treated as Reject),Reject,N/A,0.0351,2.0,2.0,4.0,2.0,,,
iaoAKDRAJQ,7.5,N/A,6.00,Accept (Poster),Accept,N/A,0.0399,8.0,4.0,6.0,6.0,,,
Kw2mvnzCoc,7.5,N/A,4.50,Accept (Poster),Accept,N/A,0.0419,6.0,6.0,4.0,2.0,,,
4Ha2srdhPN,7.5,N/A,4.50,Reject,Reject,N/A,0.0272,2.0,8.0,2.0,6.0,,,
U6ROetm5nW,7.5,N/A,4.50,Withdrawn (treated as Reject),Reject,N/A,0.0268,8.0,6.0,2.0,2.0,,,
