paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
a8wjeqTZ9C,4.5,Reject,3.75,Reject,Reject,YES,0.0509,3.0,3.0,6.0,3.0,,,
VB8xHF1Rdl,5.2,Reject,3.50,Reject,Reject,YES,0.0431,3.0,3.0,5.0,3.0,,,
tVNZj27pb3,5.2,Reject,3.67,Reject,Reject,YES,0.0540,3.0,3.0,5.0,,,,
onvN3zsNMI,4.5,Reject,3.50,Reject,Reject,YES,0.0381,3.0,5.0,3.0,3.0,,,
WCRQFlji2q,6.2,Accept,9.00,Accept (Oral),Accept,YES,0.0581,8.0,10.0,8.0,10.0,,,
lXRDQsiP2v,6.2,Accept,7.50,Accept (Spotlight),Accept,YES,0.0488,8.0,8.0,8.0,6.0,,,
ywFOSIT9ik,5.5,Accept,6.80,Accept (Spotlight),Accept,YES,0.0523,8.0,6.0,6.0,6.0,8.0,,
TwJrTz9cRS,6.2,Accept,8.00,Accept (Oral),Accept,YES,0.0488,8.0,8.0,8.0,,,,
o1efpbvR6v,4.0,Reject,2.33,Reject,Reject,YES,0.0395,5.0,1.0,1.0,,,,
wwVGZRnAYG,6.3,Accept,5.50,Accept (Poster),Accept,YES,0.0452,6.0,6.0,5.0,5.0,,,
CTC7CmirNr,6.8,Accept,7.00,Accept (Poster),Accept,YES,0.0591,6.0,8.0,8.0,6.0,,,
WRKVA3TgSv,5.0,Reject,3.00,Reject,Reject,YES,0.0591,3.0,3.0,3.0,3.0,,,
5IkDAfabuo,6.2,Accept,7.50,Accept (Oral),Accept,YES,0.0416,8.0,6.0,8.0,8.0,,,
zfeso8ceqr,6.5,Accept,6.00,Accept (Poster),Accept,YES,0.0395,5.0,5.0,8.0,6.0,,,
kkGIbmpCHU,5.5,Accept,4.75,Reject,Reject,NO,0.0653,5.0,3.0,5.0,6.0,,,
Pxik3T6Mn9,5.0,Reject,4.50,Reject,Reject,YES,0.0582,6.0,3.0,3.0,6.0,,,
KiDGtYCPcv,4.8,Reject,4.25,Reject,Reject,YES,0.0413,6.0,5.0,3.0,3.0,,,
