paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
0ylAe3Orfy,5,Accept,5.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,2.0,,,
bhR00j6Mku,5,Accept,6.67,Accept (Poster),Accept,YES,8.0,6.0,6.0,,,,
kkBOIsrCXh,5,Accept,8.00,Accept (Poster),Accept,YES,6.0,8.0,8.0,10.0,,,
BVnIsh4Nz1,5,Accept,7.00,Accept (Oral),Accept,YES,6.0,8.0,8.0,6.0,,,
u4N7Kl6gzE,5,Accept,5.00,Accept (Poster),Accept,YES,4.0,8.0,2.0,6.0,,,
kxVjQhkAWz,5,Accept,6.00,Accept (Poster),Accept,YES,8.0,6.0,4.0,6.0,,,
f4oAYJxrgH,5,Accept,0.00,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,0.0,0.0,,,
anLMfUzl0C,5,Accept,3.33,Withdrawn (treated as Reject),Reject,NO,4.0,4.0,2.0,,,,
jrY5Sh1pIh,5,Accept,2.00,Withdrawn (treated as Reject),Reject,NO,2.0,2.0,2.0,2.0,,,
2eAGrunxVz,5,Accept,7.50,Accept (Oral),Accept,YES,8.0,8.0,8.0,6.0,,,
Ry8jLSYIUG,5,Accept,5.33,Reject,Reject,NO,4.0,6.0,6.0,,,,
5SQo2E9Ujj,5,Accept,0.00,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,0.0,0.0,0.0,,
9X2NfyZpR2,5,Accept,3.00,Reject,Reject,NO,2.0,4.0,2.0,4.0,,,
Dxb9zYD23D,5,Accept,3.50,Withdrawn (treated as Reject),Reject,NO,4.0,4.0,2.0,4.0,,,
vQLUAkl5SG,5,Accept,5.50,Accept (Poster),Accept,YES,4.0,6.0,6.0,6.0,,,
VlTHxRcP3A,5,Accept,1.00,Reject,Reject,NO,2.0,0.0,2.0,0.0,,,
TgLW2DiRDG,5,Accept,7.50,Accept (Oral),Accept,YES,8.0,6.0,8.0,8.0,,,
LIG31I6ArY,5,Accept,2.50,Withdrawn (treated as Reject),Reject,NO,4.0,2.0,2.0,2.0,,,
3wMdHl7JQ6,5,Accept,1.00,Reject,Reject,NO,2.0,0.0,0.0,2.0,,,
EQhUvWH78U,5,Accept,6.67,Accept (Oral),Accept,YES,8.0,4.0,8.0,,,,
k60jAxVSv7,5,Accept,3.33,Reject,Reject,NO,2.0,6.0,2.0,,,,
C3I7nIXKHc,5,Accept,1.50,Withdrawn (treated as Reject),Reject,NO,2.0,0.0,4.0,0.0,,,
4S5x8yhJ5H,5,Accept,0.00,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,0.0,,,,
L2rfd2Czbj,5,Accept,6.67,Accept (Poster),Accept,YES,6.0,6.0,8.0,,,,
WgMZPsdJmC,5,Accept,0.50,Reject,Reject,NO,0.0,0.0,2.0,0.0,,,
Ic65R0Tbc1,5,Accept,5.00,Reject,Reject,NO,4.0,6.0,8.0,2.0,,,
GiItKTlJIB,5,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,2.0,4.0,2.0,4.0,,,
BjQqvH2LgW,5,Accept,3.50,Withdrawn (treated as Reject),Reject,NO,2.0,4.0,6.0,2.0,,,
CbK7lYbmv8,5,Accept,5.00,Accept (Poster),Accept,YES,4.0,4.0,8.0,4.0,,,
5WecBhuCyF,5,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,4.0,2.0,2.0,4.0,,,
7mCo3R3Wyn,5,Accept,7.50,Accept (Poster),Accept,YES,10.0,8.0,6.0,6.0,,,
VaS6xcDrTb,5,Accept,8.50,Accept (Poster),Accept,YES,8.0,8.0,8.0,10.0,,,
QN4WZ5QoqC,5,Accept,1.33,Withdrawn (treated as Reject),Reject,NO,2.0,0.0,2.0,,,,
tRLShDqhmi,5,Accept,4.50,Withdrawn (treated as Reject),Reject,NO,6.0,4.0,2.0,6.0,,,
qNlTH4kYJZ,5,Accept,7.00,Accept (Oral),Accept,YES,8.0,8.0,4.0,8.0,,,
9gw03JpKK4,5,Accept,8.00,Accept (Oral),Accept,YES,10.0,6.0,8.0,,,,
RT5SlprCmc,5,Accept,4.50,Reject,Reject,NO,6.0,6.0,2.0,4.0,,,
l5zZ2EEijD,5,Accept,6.50,Accept (Poster),Accept,YES,6.0,8.0,6.0,6.0,,,
uP6RDWHcs7,5,Accept,1.33,Withdrawn (treated as Reject),Reject,NO,2.0,0.0,2.0,,,,
9rvefNQN1C,5,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,2.0,2.0,4.0,4.0,,,
FkTEc3XEL6,5,Accept,0.50,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,2.0,0.0,,,
ZS4fa5FgTD,5,Accept,2.67,Withdrawn (treated as Reject),Reject,NO,4.0,2.0,2.0,,,,
n3u7PK2kyd,5,Accept,2.00,Withdrawn (treated as Reject),Reject,NO,2.0,2.0,2.0,2.0,2.0,,
B6HnApgkP3,5,Accept,2.00,Reject,Reject,NO,2.0,2.0,2.0,,,,
wyCnT4BUsT,5,Accept,4.67,Reject,Reject,NO,6.0,4.0,4.0,,,,
B5NEdEQH1K,5,Accept,4.50,Reject,Reject,NO,8.0,2.0,4.0,4.0,,,
1NZ3DHF9nT,5,Accept,6.00,Accept (Poster),Accept,YES,8.0,4.0,6.0,6.0,,,
xURArpl40L,5,Accept,3.50,Withdrawn (treated as Reject),Reject,NO,6.0,4.0,2.0,2.0,,,
ZOV3697bZZ,5,Accept,5.00,Reject,Reject,NO,6.0,4.0,4.0,6.0,,,
Gk7gLAtVDO,5,Accept,7.50,Accept (Oral),Accept,YES,8.0,8.0,8.0,6.0,,,
dPAcHrG4rl,5,Accept,5.33,Accept (Poster),Accept,YES,4.0,6.0,6.0,,,,
YSIHQy80Cr,5,Accept,5.50,Accept (Poster),Accept,YES,2.0,4.0,8.0,8.0,,,
9qbKOaF8YJ,5,Accept,3.33,Withdrawn (treated as Reject),Reject,NO,2.0,4.0,4.0,,,,
UtFQNwWBaA,5,Accept,4.00,Reject,Reject,NO,4.0,6.0,2.0,4.0,,,
oBXfPyi47m,5,Accept,8.00,Accept (Poster),Accept,YES,6.0,10.0,8.0,8.0,,,
pcaHnwjnsO,5,Accept,1.50,Reject,Reject,NO,0.0,0.0,6.0,0.0,,,
TJWhvS5JXg,5,Accept,1.20,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,2.0,2.0,2.0,,
5o0zF03RP9,5,Accept,0.50,Withdrawn (treated as Reject),Reject,NO,2.0,0.0,0.0,0.0,,,
dUgq4bLY4X,5,Accept,6.67,Accept (Poster),Accept,YES,8.0,4.0,8.0,,,,
Pxd5mjwznl,5,Accept,0.00,Reject,Reject,NO,0.0,0.0,0.0,,,,
VjGU55hEwV,5,Accept,2.50,Reject,Reject,NO,2.0,2.0,2.0,4.0,,,
knHHCx1prj,5,Accept,0.00,Reject,Reject,NO,0.0,0.0,0.0,,,,
6Y9NP1qhoM,5,Accept,5.00,Accept (Poster),Accept,YES,4.0,6.0,8.0,2.0,,,
fSE0rUngCX,5,Accept,7.33,Accept (Poster),Accept,YES,6.0,8.0,8.0,,,,
iWEG5F8o9a,5,Accept,3.00,Reject,Reject,NO,4.0,2.0,4.0,2.0,,,
Ilnbgf1eeS,5,Accept,1.00,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,2.0,2.0,,,
P1qlqfRtgo,5,Accept,2.00,Withdrawn (treated as Reject),Reject,NO,2.0,2.0,2.0,2.0,,,
ACn1rbjlFB,5,Accept,4.50,Reject,Reject,NO,6.0,4.0,4.0,4.0,,,
o8kbAXPu7P,5,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,6.0,,,
3YKeB9R1g9,5,Accept,8.00,Accept (Poster),Accept,YES,8.0,8.0,8.0,,,,
CSrGFB070m,5,Accept,2.50,Withdrawn (treated as Reject),Reject,NO,2.0,2.0,2.0,4.0,,,
yk3QBsB43u,5,Accept,5.00,Reject,Reject,NO,8.0,2.0,4.0,6.0,,,
wJgaHyJaDD,5,Accept,5.00,Reject,Reject,NO,6.0,6.0,4.0,4.0,,,
c5mdo1hWrs,5,Accept,7.33,Accept (Poster),Accept,YES,6.0,8.0,8.0,,,,
do4hqhMBiu,5,Accept,0.00,Reject,Reject,NO,0.0,0.0,0.0,,,,
nHrYBGujps,5,Accept,7.50,Accept (Oral),Accept,YES,6.0,8.0,8.0,8.0,,,
QGXVZ0OPLy,5,Accept,5.00,Accept (Poster),Accept,YES,4.0,4.0,6.0,6.0,,,
VP204Aa0gH,5,Accept,2.50,Withdrawn (treated as Reject),Reject,NO,2.0,4.0,2.0,2.0,,,
