paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
j3htU5i01r,4.3,N/A,4.00,Reject,Reject,N/A,0.0240,2.0,2.0,8.0,4.0,,,
PFhrOUJZ5o,5.3,N/A,5.00,Reject,Reject,N/A,0.0437,4.0,4.0,6.0,6.0,,,
C6WWMryELL,5.3,N/A,5.50,Reject,Reject,N/A,0.0510,6.0,4.0,6.0,6.0,,,
XKLPlnfZzM,6.4,N/A,3.50,Reject,Reject,N/A,0.0484,6.0,4.0,2.0,2.0,,,
cZFgsLq8Gs,5.7,N/A,4.00,Accept (Poster),Accept,N/A,0.0753,4.0,6.0,4.0,2.0,,,
v05SW2X3IC,5.7,N/A,5.33,Accept (Poster),Accept,N/A,0.0459,6.0,6.0,4.0,,,,
rBj2iVyrhh,5.8,N/A,2.00,Reject,Reject,N/A,0.0203,2.0,2.0,2.0,2.0,,,
oh9ChF7Pv0,4.7,N/A,4.67,Accept (Poster),Accept,N/A,0.0445,6.0,6.0,2.0,,,,
wSbVv6xaRr,3.9,N/A,4.00,Withdrawn (treated as Reject),Reject,N/A,0.0591,4.0,4.0,4.0,,,,
iaoAKDRAJQ,6.5,N/A,6.00,Accept (Poster),Accept,N/A,0.1059,8.0,4.0,6.0,6.0,,,
W42oLSwI9p,4.2,N/A,5.00,Reject,Reject,N/A,0.0286,4.0,4.0,6.0,6.0,,,
ppXAVexrAM,4.6,N/A,4.00,Reject,Reject,N/A,0.0209,4.0,4.0,6.0,2.0,,,
Ksvv8x00eo,5.7,N/A,3.50,Withdrawn (treated as Reject),Reject,N/A,0.0482,6.0,2.0,4.0,2.0,,,
Me0n0iESJY,5.8,N/A,6.00,Accept (Poster),Accept,N/A,0.0380,4.0,8.0,8.0,4.0,,,
KsWRLyIAKP,3.8,N/A,3.20,Withdrawn (treated as Reject),Reject,N/A,0.0294,4.0,2.0,2.0,4.0,4.0,,
3icvqeC1sA,7.0,N/A,4.50,Reject,Reject,N/A,0.0566,6.0,2.0,4.0,6.0,,,
zKQSyT7a7n,5.8,N/A,6.00,Reject,Reject,N/A,0.0232,6.0,8.0,4.0,6.0,,,
c7OsKOOZo8,4.3,N/A,4.50,Withdrawn (treated as Reject),Reject,N/A,0.0217,6.0,4.0,4.0,4.0,,,
aiM6bRd6bG,4.2,N/A,4.00,Reject,Reject,N/A,0.0283,4.0,2.0,6.0,4.0,,,
s7oURFZTQD,4.3,N/A,3.00,Reject,Reject,N/A,0.0365,2.0,2.0,4.0,4.0,,,
Vit5M0G5Gb,7.2,N/A,6.00,Accept (Poster),Accept,N/A,0.0717,8.0,6.0,4.0,6.0,6.0,,
2EQPpEZtEK,5.8,N/A,3.33,Reject,Reject,N/A,0.0225,2.0,4.0,4.0,,,,
dCtkwjkK0E,3.8,N/A,2.00,Reject,Reject,N/A,0.0191,2.0,2.0,2.0,2.0,,,
VgVeQpagf7,7.2,N/A,4.67,Reject,Reject,N/A,0.0525,4.0,4.0,6.0,,,,
QryPmx2MNh,4.6,N/A,3.50,Withdrawn (treated as Reject),Reject,N/A,0.0249,4.0,4.0,2.0,4.0,,,
X2yzXtH4wp,5.2,N/A,5.33,Accept (Poster),Accept,N/A,0.0218,6.0,6.0,4.0,,,,
ngOOlatCK6,6.2,N/A,5.33,Reject,Reject,N/A,0.0546,6.0,6.0,4.0,,,,
7L7kmHHfgf,4.8,N/A,5.50,Accept (Poster),Accept,N/A,0.0292,4.0,6.0,6.0,6.0,,,
41JeFWdVFa,5.5,N/A,4.67,Reject,Reject,N/A,0.0323,6.0,6.0,2.0,,,,
mDuTDAK6KU,3.7,N/A,4.00,Withdrawn (treated as Reject),Reject,N/A,0.0602,2.0,8.0,2.0,4.0,,,
U6ROetm5nW,6.6,N/A,4.50,Withdrawn (treated as Reject),Reject,N/A,0.0391,8.0,6.0,2.0,2.0,,,
OuMNJoKJBQ,5.6,N/A,4.50,Accept (Poster),Accept,N/A,0.0337,4.0,4.0,6.0,4.0,,,
opU91paIvZ,4.3,N/A,3.33,Withdrawn (treated as Reject),Reject,N/A,0.0190,6.0,2.0,2.0,,,,
wUzBBsrdB1,6.2,N/A,5.00,Reject,Reject,N/A,0.0498,8.0,4.0,6.0,2.0,,,
eETr3lrOQB,5.1,N/A,4.50,Accept (Poster),Accept,N/A,0.0315,4.0,8.0,2.0,4.0,,,
1j0ormf8uI,4.6,N/A,5.20,Accept (Poster),Accept,N/A,0.0562,8.0,4.0,6.0,6.0,2.0,,
32mrjmaeMP,6.3,N/A,4.50,Accept (Poster),Accept,N/A,0.0768,6.0,6.0,4.0,2.0,,,
ahpO7S1Ppi,6.3,N/A,3.50,Reject,Reject,N/A,0.0300,2.0,4.0,4.0,4.0,,,
Rt9SeEAMWv,5.8,N/A,4.80,Reject,Reject,N/A,0.0473,6.0,4.0,2.0,6.0,6.0,,
hQZQVLJrH9,5.2,N/A,4.50,Withdrawn (treated as Reject),Reject,N/A,0.0176,4.0,2.0,6.0,6.0,,,
bm3rbtEMFj,6.2,N/A,5.00,Accept (Poster),Accept,N/A,0.0460,6.0,6.0,4.0,4.0,,,
IdJakw2jta,4.2,N/A,4.50,Withdrawn (treated as Reject),Reject,N/A,0.0268,4.0,6.0,4.0,4.0,,,
rI2Fa13fUL,5.9,N/A,5.00,Reject,Reject,N/A,0.0464,6.0,6.0,4.0,4.0,,,
31CznLfRIS,4.2,N/A,4.50,Accept (Poster),Accept,N/A,0.0350,4.0,4.0,6.0,4.0,,,
Vgm77U4ojX,7.2,N/A,6.00,Accept (Poster),Accept,N/A,0.0651,6.0,8.0,6.0,4.0,6.0,,
cEXEmyW77N,5.4,N/A,5.00,Accept (Poster),Accept,N/A,0.0246,4.0,6.0,6.0,4.0,,,
1E4Bltg6Xb,3.7,N/A,4.67,Accept (Poster),Accept,N/A,0.0207,6.0,6.0,2.0,,,,
JEN4nsDgh9,3.8,N/A,3.50,Reject,Reject,N/A,0.0438,4.0,4.0,2.0,4.0,,,
piylyBPSau,4.7,N/A,4.00,Reject,Reject,N/A,0.0284,2.0,4.0,4.0,6.0,,,
L2rfd2Czbj,5.1,N/A,6.67,Accept (Poster),Accept,N/A,0.0494,6.0,6.0,8.0,,,,
x6bG2Hoqdf,6.1,N/A,5.50,Accept (Poster),Accept,N/A,0.0428,8.0,2.0,8.0,4.0,,,
vGkXf8nvt9,4.3,N/A,4.67,Reject,Reject,N/A,0.0313,4.0,6.0,4.0,,,,
iDki7djO2K,5.3,N/A,4.00,Reject,Reject,N/A,0.0409,4.0,4.0,4.0,4.0,,,
M14YpuTejd,5.4,N/A,4.00,Withdrawn (treated as Reject),Reject,N/A,0.0186,6.0,2.0,4.0,,,,
GRufFX1gAy,4.5,N/A,4.50,Accept (Poster),Accept,N/A,0.0398,4.0,4.0,6.0,4.0,,,
