paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
vh-0sUt8HlG,6.0,Accept,6.33,Accept (Poster),Accept,YES,8.0,6.0,5.0,,,,
gjNcH0hj0LM,6.0,Accept,7.00,Accept (Poster),Accept,YES,10.0,6.0,6.0,6.0,,,
8Py-W8lSUgy,6.0,Accept,6.25,Accept (Spotlight),Accept,YES,5.0,6.0,6.0,8.0,,,
CNY9h3uyfiO,6.0,Accept,4.25,Reject,Reject,NO,5.0,6.0,3.0,3.0,,,
EYCm0AFjaSS,6.0,Accept,5.20,Reject,Reject,NO,5.0,5.0,5.0,6.0,5.0,,
Ub1BQTKiwqg,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,3.0,,,
kSwqMH0zn1F,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,6.0,,,
l431c_2eGO2,6.0,Accept,5.00,Reject,Reject,NO,5.0,6.0,5.0,3.0,6.0,,
mF122BuAnnW,6.0,Accept,4.75,Reject,Reject,NO,3.0,8.0,3.0,5.0,,,
hjlXybdILM3,6.0,Accept,5.50,Reject,Reject,NO,6.0,6.0,5.0,5.0,,,
AAeMQz0x4nA,6.0,Accept,4.25,Reject,Reject,NO,6.0,5.0,3.0,3.0,,,
3ILxkQ7yElm,6.0,Accept,5.00,Accept (Poster),Accept,YES,6.0,8.0,1.0,,,,
SYuJXrXq8tw,6.0,Accept,6.75,Accept (Poster),Accept,YES,5.0,8.0,8.0,6.0,,,
rxF4IN3R2ml,6.0,Accept,5.33,Reject,Reject,NO,5.0,5.0,6.0,,,,
o6dG7nVYDS,6.0,Accept,5.25,Reject,Reject,NO,8.0,5.0,5.0,3.0,,,
t5s-hd1bqLk,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,,,,
qTHBE7E9iej,6.0,Accept,8.00,Accept (Spotlight),Accept,YES,8.0,8.0,8.0,8.0,,,
lu_DAxnWsh,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,3.0,,,
rMbLORc8oS,6.0,Accept,4.25,Reject,Reject,NO,6.0,3.0,3.0,5.0,,,
XJFGyJEBLuz,6.0,Accept,4.67,Reject,Reject,NO,3.0,3.0,8.0,,,,
pC00NfsvnSK,6.0,Accept,5.50,Reject,Reject,NO,5.0,6.0,6.0,5.0,,,
inSTvgLk2YP,6.0,Accept,4.75,Reject,Reject,NO,6.0,5.0,3.0,5.0,,,
qEGBB9YB31,6.0,Accept,5.50,Reject,Reject,NO,5.0,6.0,6.0,5.0,,,
KeBPcg5E3X,6.0,Accept,5.75,Reject,Reject,NO,5.0,5.0,5.0,8.0,,,
JHXjK94yH-y,6.0,Accept,4.33,Reject,Reject,NO,5.0,3.0,5.0,,,,
Gx6Tvlm-hWW,6.0,Accept,6.00,Reject,Reject,NO,6.0,6.0,6.0,6.0,,,
WVX0NNVBBkV,6.0,Accept,7.00,Accept (Poster),Accept,YES,8.0,8.0,6.0,6.0,,,
VqzXzA9hjaX,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,6.0,,,
8QE3pwEVc8P,6.0,Accept,6.00,Reject,Reject,NO,8.0,6.0,5.0,5.0,,,
anbBFlX1tJ1,6.0,Accept,6.50,Accept (Poster),Accept,YES,6.0,8.0,6.0,6.0,,,
zyrhwrd9EYs,6.0,Accept,3.67,Reject,Reject,NO,3.0,3.0,5.0,,,,
5o7lEUYRvM,6.0,Accept,5.00,Reject,Reject,NO,5.0,6.0,6.0,3.0,,,
RQ428ZptQfU,6.0,Accept,7.50,Accept (Poster),Accept,YES,8.0,8.0,8.0,6.0,,,
_PHymLIxuI,6.0,Accept,6.25,Accept (Poster),Accept,YES,6.0,6.0,5.0,8.0,,,
lkQ7meEa-qv,6.0,Accept,4.25,Reject,Reject,NO,6.0,3.0,5.0,3.0,,,
n6Bc3YElODq,6.0,Accept,4.50,Reject,Reject,NO,3.0,5.0,5.0,5.0,,,
dEwfxt14bca,6.0,Accept,7.00,Accept (Spotlight),Accept,YES,6.0,8.0,8.0,6.0,,,
dzZQEvQ6dRK,6.0,Accept,5.25,Reject,Reject,NO,5.0,5.0,8.0,3.0,,,
SVwbKmEg7M,6.0,Accept,4.75,Reject,Reject,NO,5.0,5.0,6.0,3.0,,,
FKp8-pIRo3y,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,6.0,,,
jNB6vfl_680,6.0,Accept,4.67,Reject,Reject,NO,5.0,6.0,3.0,,,,
q2ZaVU6bEsT,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,,,,
FpKgG31Z_i9,6.0,Accept,4.25,Reject,Reject,NO,3.0,3.0,8.0,3.0,,,
bglU8l_Pq8Q,6.0,Accept,5.00,Reject,Reject,NO,6.0,5.0,6.0,3.0,,,
t1QXzSGwr9,6.0,Accept,3.00,Reject,Reject,NO,3.0,1.0,5.0,3.0,,,
aYSlxlHKEA,6.0,Accept,5.00,Reject,Reject,NO,5.0,5.0,5.0,,,,
uHv20yi8saL,6.0,Accept,5.75,Reject,Reject,NO,8.0,6.0,6.0,3.0,,,
3pZTPQjeQDR,6.0,Accept,6.00,Reject,Reject,NO,6.0,6.0,6.0,,,,
VFBjuF8HEp,6.0,Accept,6.50,Accept (Poster),Accept,YES,6.0,8.0,6.0,6.0,,,
-uZp67PZ7p,6.0,Accept,5.50,Reject,Reject,NO,6.0,5.0,5.0,6.0,,,
Fza94Y8VS4a,6.0,Accept,6.25,Accept (Poster),Accept,YES,5.0,8.0,6.0,6.0,,,
ZaVVVlcdaN,6.0,Accept,5.50,Accept (Poster),Accept,YES,6.0,5.0,5.0,6.0,,,
DIjCrlsu6Z,6.0,Accept,7.33,Accept (Spotlight),Accept,YES,6.0,8.0,8.0,,,,
SsPCtEY6yCl,6.0,Accept,7.00,Accept (Spotlight),Accept,YES,6.0,8.0,6.0,8.0,,,
xFOyMwWPkz,6.0,Accept,6.25,Accept (Poster),Accept,YES,8.0,6.0,5.0,6.0,,,
C4o-EEUx-6,6.0,Accept,4.75,Reject,Reject,NO,5.0,6.0,3.0,5.0,,,
js62_xuLDDv,6.0,Accept,6.50,Accept (Poster),Accept,YES,6.0,6.0,8.0,6.0,,,
UvNXZgJAOAP,6.0,Accept,4.25,Reject,Reject,NO,3.0,5.0,3.0,6.0,,,
AUszBTiYBB6,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,,,,
Zca3NK3X8G,6.0,Accept,6.50,Reject,Reject,NO,8.0,5.0,5.0,8.0,,,
4Muj-t_4o4,6.0,Accept,5.75,Accept (Poster),Accept,YES,3.0,6.0,6.0,8.0,,,
Ih0iJBSy4eq,6.0,Accept,5.00,Reject,Reject,NO,5.0,5.0,5.0,5.0,,,
morSrUyWG26,6.0,Accept,5.25,Reject,Reject,NO,5.0,5.0,5.0,6.0,,,
WN2Sup7qLdw,6.0,Accept,4.40,Reject,Reject,NO,3.0,5.0,3.0,5.0,6.0,,
0SiVrAfIxOe,6.0,Accept,5.00,Reject,Reject,NO,5.0,5.0,5.0,,,,
EhYjZy6e1gJ,6.0,Accept,8.00,Accept (Oral),Accept,YES,8.0,8.0,8.0,,,,
xS8AMYiEav3,6.0,Accept,6.75,Accept (Poster),Accept,YES,8.0,6.0,8.0,5.0,,,
PilZY3omXV2,6.0,Accept,6.25,Accept (Poster),Accept,YES,8.0,6.0,6.0,5.0,,,
D1TYemnoRN,6.0,Accept,5.50,Reject,Reject,NO,6.0,5.0,6.0,5.0,,,
Mlwe37htstv,6.0,Accept,5.25,Reject,Reject,NO,6.0,6.0,3.0,6.0,,,
ZC1s7bdR9bD,6.0,Accept,4.50,Reject,Reject,NO,5.0,3.0,5.0,5.0,,,
0d1mLPC2q2,6.0,Accept,3.67,Reject,Reject,NO,3.0,3.0,5.0,,,,
Z0XiFAb_WDr,6.0,Accept,5.00,Reject,Reject,NO,5.0,5.0,5.0,,,,
JLbXkHkLCG6,6.0,Accept,4.50,Reject,Reject,NO,5.0,3.0,5.0,5.0,,,
YmONQIWli--,6.0,Accept,6.00,Reject,Reject,NO,8.0,6.0,5.0,5.0,,,
e-IkMkna5uJ,6.0,Accept,5.50,Reject,Reject,NO,3.0,8.0,8.0,3.0,,,
z8xVlqWwRrK,6.0,Accept,6.00,Reject,Reject,NO,8.0,5.0,5.0,6.0,,,
dIVrWHP9_1i,6.0,Accept,4.67,Reject,Reject,NO,3.0,3.0,8.0,,,,
kiNEOCSEzt,6.0,Accept,5.75,Reject,Reject,NO,6.0,5.0,6.0,6.0,,,
YevsQ05DEN7,6.0,Accept,6.20,Accept (Poster),Accept,YES,5.0,6.0,8.0,6.0,6.0,,
6ya8C6sCiD,6.0,Accept,5.20,Reject,Reject,NO,3.0,5.0,6.0,6.0,6.0,,
GlN8MUkciwi,6.0,Accept,5.50,Reject,Reject,NO,6.0,5.0,5.0,6.0,,,
MWQCPYSJRN,6.0,Accept,4.75,Reject,Reject,NO,6.0,5.0,5.0,3.0,,,
L1L2G43k14n,6.0,Accept,4.40,Reject,Reject,NO,6.0,5.0,5.0,3.0,3.0,,
